model	path
AR_Breast	data/ENPACT_734_2024-07-26/models/AR_Breast/AR_Breast_2024-07-26.logistic.rds
AR_EmbryonicKidney	data/ENPACT_734_2024-07-26/models/AR_EmbryonicKidney/AR_EmbryonicKidney_2024-07-26.logistic.rds
AR_MammaryGland	data/ENPACT_734_2024-07-26/models/AR_MammaryGland/AR_MammaryGland_2024-07-26.logistic.rds
AR_Prostate	data/ENPACT_734_2024-07-26/models/AR_Prostate/AR_Prostate_2024-07-26.logistic.rds
ARNT_BoneMarrow	data/ENPACT_734_2024-07-26/models/ARNT_BoneMarrow/ARNT_BoneMarrow_2024-07-26.logistic.rds
ARNT_Breast	data/ENPACT_734_2024-07-26/models/ARNT_Breast/ARNT_Breast_2024-07-26.logistic.rds
ARNT_Kidney	data/ENPACT_734_2024-07-26/models/ARNT_Kidney/ARNT_Kidney_2024-07-26.logistic.rds
ASCL1_Lung	data/ENPACT_734_2024-07-26/models/ASCL1_Lung/ASCL1_Lung_2024-07-26.logistic.rds
ASCL1_Skin	data/ENPACT_734_2024-07-26/models/ASCL1_Skin/ASCL1_Skin_2024-07-26.logistic.rds
ATF1_BoneMarrow	data/ENPACT_734_2024-07-26/models/ATF1_BoneMarrow/ATF1_BoneMarrow_2024-07-26.logistic.rds
ATF1_Liver	data/ENPACT_734_2024-07-26/models/ATF1_Liver/ATF1_Liver_2024-07-26.logistic.rds
ATF2_Blood	data/ENPACT_734_2024-07-26/models/ATF2_Blood/ATF2_Blood_2024-07-26.logistic.rds
ATF2_Colon	data/ENPACT_734_2024-07-26/models/ATF2_Colon/ATF2_Colon_2024-07-26.logistic.rds
ATF2_Embryo	data/ENPACT_734_2024-07-26/models/ATF2_Embryo/ATF2_Embryo_2024-07-26.logistic.rds
ATF2_EmbryonicKidney	data/ENPACT_734_2024-07-26/models/ATF2_EmbryonicKidney/ATF2_EmbryonicKidney_2024-07-26.logistic.rds
ATF3_Blood	data/ENPACT_734_2024-07-26/models/ATF3_Blood/ATF3_Blood_2024-07-26.logistic.rds
ATF3_BoneMarrow	data/ENPACT_734_2024-07-26/models/ATF3_BoneMarrow/ATF3_BoneMarrow_2024-07-26.logistic.rds
ATF3_Colon	data/ENPACT_734_2024-07-26/models/ATF3_Colon/ATF3_Colon_2024-07-26.logistic.rds
ATF3_Embryo	data/ENPACT_734_2024-07-26/models/ATF3_Embryo/ATF3_Embryo_2024-07-26.logistic.rds
ATF3_Liver	data/ENPACT_734_2024-07-26/models/ATF3_Liver/ATF3_Liver_2024-07-26.logistic.rds
ATF3_Lung	data/ENPACT_734_2024-07-26/models/ATF3_Lung/ATF3_Lung_2024-07-26.logistic.rds
ATF3_Skin	data/ENPACT_734_2024-07-26/models/ATF3_Skin/ATF3_Skin_2024-07-26.logistic.rds
ATF4_Liver	data/ENPACT_734_2024-07-26/models/ATF4_Liver/ATF4_Liver_2024-07-26.logistic.rds
BACH1_BoneMarrow	data/ENPACT_734_2024-07-26/models/BACH1_BoneMarrow/BACH1_BoneMarrow_2024-07-26.logistic.rds
BACH1_Embryo	data/ENPACT_734_2024-07-26/models/BACH1_Embryo/BACH1_Embryo_2024-07-26.logistic.rds
BACH2_Blood	data/ENPACT_734_2024-07-26/models/BACH2_Blood/BACH2_Blood_2024-07-26.logistic.rds
BATF_Blood	data/ENPACT_734_2024-07-26/models/BATF_Blood/BATF_Blood_2024-07-26.logistic.rds
BATF_BoneMarrow	data/ENPACT_734_2024-07-26/models/BATF_BoneMarrow/BATF_BoneMarrow_2024-07-26.logistic.rds
BCL11A_Blood	data/ENPACT_734_2024-07-26/models/BCL11A_Blood/BCL11A_Blood_2024-07-26.logistic.rds
BCL11A_EmbryonicKidney	data/ENPACT_734_2024-07-26/models/BCL11A_EmbryonicKidney/BCL11A_EmbryonicKidney_2024-07-26.logistic.rds
BCL6_Blood	data/ENPACT_734_2024-07-26/models/BCL6_Blood/BCL6_Blood_2024-07-26.logistic.rds
BCL6_BoneMarrow	data/ENPACT_734_2024-07-26/models/BCL6_BoneMarrow/BCL6_BoneMarrow_2024-07-26.logistic.rds
BCL6_Tonsil	data/ENPACT_734_2024-07-26/models/BCL6_Tonsil/BCL6_Tonsil_2024-07-26.logistic.rds
BHLHE40_Blood	data/ENPACT_734_2024-07-26/models/BHLHE40_Blood/BHLHE40_Blood_2024-07-26.logistic.rds
BHLHE40_BoneMarrow	data/ENPACT_734_2024-07-26/models/BHLHE40_BoneMarrow/BHLHE40_BoneMarrow_2024-07-26.logistic.rds
BHLHE40_Liver	data/ENPACT_734_2024-07-26/models/BHLHE40_Liver/BHLHE40_Liver_2024-07-26.logistic.rds
BHLHE40_Lung	data/ENPACT_734_2024-07-26/models/BHLHE40_Lung/BHLHE40_Lung_2024-07-26.logistic.rds
CDX2_Colon	data/ENPACT_734_2024-07-26/models/CDX2_Colon/CDX2_Colon_2024-07-26.logistic.rds
CEBPA_Adipose	data/ENPACT_734_2024-07-26/models/CEBPA_Adipose/CEBPA_Adipose_2024-07-26.logistic.rds
CEBPA_Blood	data/ENPACT_734_2024-07-26/models/CEBPA_Blood/CEBPA_Blood_2024-07-26.logistic.rds
CEBPA_BoneMarrow	data/ENPACT_734_2024-07-26/models/CEBPA_BoneMarrow/CEBPA_BoneMarrow_2024-07-26.logistic.rds
CEBPA_Liver	data/ENPACT_734_2024-07-26/models/CEBPA_Liver/CEBPA_Liver_2024-07-26.logistic.rds
CEBPA_Pleura	data/ENPACT_734_2024-07-26/models/CEBPA_Pleura/CEBPA_Pleura_2024-07-26.logistic.rds
CLOCK_Bone	data/ENPACT_734_2024-07-26/models/CLOCK_Bone/CLOCK_Bone_2024-07-26.logistic.rds
CLOCK_Colon	data/ENPACT_734_2024-07-26/models/CLOCK_Colon/CLOCK_Colon_2024-07-26.logistic.rds
CREB1_Blood	data/ENPACT_734_2024-07-26/models/CREB1_Blood/CREB1_Blood_2024-07-26.logistic.rds
CREB1_BoneMarrow	data/ENPACT_734_2024-07-26/models/CREB1_BoneMarrow/CREB1_BoneMarrow_2024-07-26.logistic.rds
CREB1_Colon	data/ENPACT_734_2024-07-26/models/CREB1_Colon/CREB1_Colon_2024-07-26.logistic.rds
CREB1_Embryo	data/ENPACT_734_2024-07-26/models/CREB1_Embryo/CREB1_Embryo_2024-07-26.logistic.rds
CREB1_Endometrium	data/ENPACT_734_2024-07-26/models/CREB1_Endometrium/CREB1_Endometrium_2024-07-26.logistic.rds
CREB1_Liver	data/ENPACT_734_2024-07-26/models/CREB1_Liver/CREB1_Liver_2024-07-26.logistic.rds
CREB1_Lung	data/ENPACT_734_2024-07-26/models/CREB1_Lung/CREB1_Lung_2024-07-26.logistic.rds
CREB1_MammaryGland	data/ENPACT_734_2024-07-26/models/CREB1_MammaryGland/CREB1_MammaryGland_2024-07-26.logistic.rds
CREB1_Prostate	data/ENPACT_734_2024-07-26/models/CREB1_Prostate/CREB1_Prostate_2024-07-26.logistic.rds
CTCF_Adipose	data/ENPACT_734_2024-07-26/models/CTCF_Adipose/CTCF_Adipose_2024-07-26.logistic.rds
